gender,race,age,path,label
female,Asian,45,000001_female_Asian_45/mask1,1
female,Asian,45,000001_female_Asian_45/mask2,1
female,Asian,45,000001_female_Asian_45/mask3,1
female,Asian,45,000001_female_Asian_45/mask4,1
female,Asian,45,000001_female_Asian_45/mask5,1
female,Asian,45,000001_female_Asian_45/normal,1
female,Asian,45,000001_female_Asian_45/incorrect_mask,1
female,Asian,52,000002_female_Asian_52/mask1,1
female,Asian,52,000002_female_Asian_52/mask2,1
female,Asian,52,000002_female_Asian_52/mask3,1
female,Asian,52,000002_female_Asian_52/mask4,1
female,Asian,52,000002_female_Asian_52/mask5,1
female,Asian,52,000002_female_Asian_52/normal,1
female,Asian,52,000002_female_Asian_52/incorrect_mask,1
male,Asian,54,000004_male_Asian_54/mask1,1
male,Asian,54,000004_male_Asian_54/mask2,1
male,Asian,54,000004_male_Asian_54/mask3,1
male,Asian,54,000004_male_Asian_54/mask4,1
male,Asian,54,000004_male_Asian_54/mask5,1
male,Asian,54,000004_male_Asian_54/normal,1
male,Asian,54,000004_male_Asian_54/incorrect_mask,1
female,Asian,58,000005_female_Asian_58/mask1,2
female,Asian,58,000005_female_Asian_58/mask2,2
female,Asian,58,000005_female_Asian_58/mask3,2
female,Asian,58,000005_female_Asian_58/mask4,2
female,Asian,58,000005_female_Asian_58/mask5,2
female,Asian,58,000005_female_Asian_58/normal,2
female,Asian,58,000005_female_Asian_58/incorrect_mask,2
female,Asian,59,000006_female_Asian_59/mask1,2
female,Asian,59,000006_female_Asian_59/mask2,2
female,Asian,59,000006_female_Asian_59/mask3,2
female,Asian,59,000006_female_Asian_59/mask4,2
female,Asian,59,000006_female_Asian_59/mask5,2
female,Asian,59,000006_female_Asian_59/normal,2
female,Asian,59,000006_female_Asian_59/incorrect_mask,2
female,Asian,58,000007_female_Asian_58/mask1,2
female,Asian,58,000007_female_Asian_58/mask2,2
female,Asian,58,000007_female_Asian_58/mask3,2
female,Asian,58,000007_female_Asian_58/mask4,2
female,Asian,58,000007_female_Asian_58/mask5,2
female,Asian,58,000007_female_Asian_58/normal,2
female,Asian,58,000007_female_Asian_58/incorrect_mask,2
female,Asian,58,000008_female_Asian_58/mask1,2
female,Asian,58,000008_female_Asian_58/mask2,2
female,Asian,58,000008_female_Asian_58/mask3,2
female,Asian,58,000008_female_Asian_58/mask4,2
female,Asian,58,000008_female_Asian_58/mask5,2
female,Asian,58,000008_female_Asian_58/normal,2
female,Asian,58,000008_female_Asian_58/incorrect_mask,2
female,Asian,56,000009_female_Asian_56/mask1,2
female,Asian,56,000009_female_Asian_56/mask2,2
female,Asian,56,000009_female_Asian_56/mask3,2
female,Asian,56,000009_female_Asian_56/mask4,2
female,Asian,56,000009_female_Asian_56/mask5,2
female,Asian,56,000009_female_Asian_56/normal,2
female,Asian,56,000009_female_Asian_56/incorrect_mask,2
female,Asian,58,000010_female_Asian_58/mask1,2
female,Asian,58,000010_female_Asian_58/mask2,2
female,Asian,58,000010_female_Asian_58/mask3,2
female,Asian,58,000010_female_Asian_58/mask4,2
female,Asian,58,000010_female_Asian_58/mask5,2
female,Asian,58,000010_female_Asian_58/normal,2
female,Asian,58,000010_female_Asian_58/incorrect_mask,2
male,Asian,57,000012_male_Asian_57/mask1,2
male,Asian,57,000012_male_Asian_57/mask2,2
